name,company,city,address,latitude,longitude
ASSURANCES MAHRAZ,RMA,Rabat,"Lot Oumaïma - Secteurt 1 - Kariat، 48 Av. Moulay Abdellah, Salé, Morocco",34.0255632,-6.7647274
RMA wataniya,RMA,Rabat,"7C9P+7VG, Kenitra, Morocco",34.2681802,-6.5628086
Royale Marocaine D'Assurances Rma,RMA,Rabat,"67-69 Avenue Des Far Quartier Ancienne Medina, Casablanca, Casablanca 20100, Morocco",34.2621828,-6.5663281
BGD Rma Assurance,RMA,Rabat,"n 21, 50 Avenue Imam Ali, Kénitra 14020, Morocco",34.2604069,-6.5903306
Doha Tech,RMA,Rabat,"Avenue hassane ll, côté de RMA, assurance benkirane , et WAFACASH, Sala Al Jadida 11100, Morocco",33.9940134,-6.7360188
Conseil Pro Assurance,RMA,Rabat,"41 Résidence Laayadi Hay Salam، Ben Slimane, Morocco",33.6253733,-7.1302922
RentCARma,RMA,Rabat,"Avenue Mohammed ٧ lotissement el mansour apt 07 tabriquet، Salé 11000, Morocco",34.0509441,-6.7991123
Sanlam - Agence Route De Kenitra,Sanlam,Rabat,"7, Boulevard Mohammed VI, Résidence NADA, Rte de Rabat, Salé 11000, Morocco",34.0685146,-6.7921858
Sanlam - Bureau Direct Rabat Mabella,Sanlam,Rabat,"Mabella, 5 Av. Tadla, Rabat, Morocco",33.9951425,-6.8201142
Sanlam Assurance,Sanlam,Rabat,"W3JV+RRX, Avenida Moulay Ali Cherif, Temara, Morocco",33.9321025,-6.9053844
Saham Assurance,Saham,Rabat,"imm.2- appt. 3, Av. Hassan II, Témara 12000, Morocco",33.9050381,-6.9388342
OUSSAMA ASSURANCES,Saham,Rabat,"Bloc DL N° 45 Avenue Al Massira, Kouass Yaakoub El Mansour, Rabat, Maroc، Rabat, Morocco",33.9885282,-6.8746799
Sanlam - Assurances Al Majd,Sanlam,Rabat,"Rue el ganzra imm. b apt. 1, Rabat 10000, Morocco",34.0068641,-6.8505021
Sanlam - Agence Kariat Oulad Moussa,Sanlam,Rabat,"225, avenue Moulay Rachid, Hay Baraka, Secteur 4 Sale, Oulad Moussa, Morocco",34.0187003,-6.7630662
